SourceFile,FileSize,ImageWidth,ImageHeight
1.jpg,72 kB,487,600
10.jpg,64 kB,487,600
11.jpg,71 kB,487,600
12.jpg,71 kB,487,600
13.jpg,84 kB,487,600
14.jpg,73 kB,487,600
15.jpg,76 kB,487,600
16.jpg,61 kB,487,600
17.jpg,88 kB,487,600
18.jpg,72 kB,487,600
19.jpg,74 kB,487,600
2.jpg,73 kB,487,600
20.jpg,65 kB,487,600
21.jpg,92 kB,487,600
22.jpg,69 kB,487,600
23.jpg,71 kB,487,600
24.jpg,68 kB,487,600
25.jpg,62 kB,487,600
3.jpg,59 kB,487,600
4.jpg,76 kB,487,600
5.jpg,73 kB,487,600
6.jpg,67 kB,487,600
7.jpg,77 kB,487,600
8.jpg,74 kB,487,600
9.jpg,73 kB,487,600
